year,country,politics
1996,Afghanistan,1.1245762
1996,Albania,24.054165
1996,Algeria,16.689869
1996,American Samoa,
1996,Andorra,89.505173
1996,Angola,8.26122
1996,Anguilla,
1996,Antigua and Barbuda,73.712219
1996,Argentina,56.942585
1996,Armenia,33.76989
1996,Aruba,
1996,Australia,92.873413
1996,Austria,95.391548
1996,Azerbaijan,14.035774
1996,"Bahamas, The",83.613022
1996,Bahrain,52.424896
1996,Bangladesh,26.523371
1996,Barbados,87.429962
1996,Belarus,27.736374
1996,Belgium,90.219299
1996,Belize,61.343159
1996,Benin,47.762516
1996,Bermuda,84.301979
1996,Bhutan,53.13377
1996,Bolivia,43.835613
1996,Bosnia and Herzegovina,30.850416
1996,Botswana,72.088219
1996,Brazil,50.913177
1996,Brunei Darussalam,71.93734
1996,Bulgaria,42.442673
1996,Burkina Faso,32.518887
1996,Burundi,3.6363709
1996,Cambodia,22.430252
1996,Cameroon,13.555305
1996,Canada,94.430687
1996,Cape Verde,64.096542
1996,Cayman Islands,87.499977
1996,Central African Republic,10.822808
1996,Chad,17.041084
1996,Chile,81.838737
1996,China,38.001625
1996,Colombia,32.809223
1996,Comoros,23.483889
1996,"Congo, Dem. Rep.",2.01969
1996,"Congo, Rep.",10.967321
1996,Cook Islands,
1996,Costa Rica,70.378128
1996,Cote d'Ivoire,41.54557
1996,Croatia,41.107765
1996,Cuba,29.642799
1996,Cyprus,80.06395
1996,Czech Republic,78.364372
1996,Denmark,97.982651
1996,Djibouti,23.97183
1996,Dominica,76.704712
1996,Dominican Republic,44.410187
1996,Ecuador,32.609108
1996,"Egypt, Arab Rep.",43.485085
1996,El Salvador,33.51466
1996,Equatorial Guinea,13.91797
1996,Eritrea,26.971584
1996,Estonia,70.661392
1996,Ethiopia,12.707635
1996,Fiji,59.227009
1996,Finland,96.7584
1996,France,84.653625
1996,French Guiana,72.06749
1996,Gabon,38.272514
1996,"Gambia, The",36.081146
1996,Georgia,16.957102
1996,Germany,92.737022
1996,Ghana,42.23502
1996,Greece,72.061493
1996,Greenland,
1996,Grenada,70.740746
1996,Guam,
1996,Guatemala,28.309555
1996,Guinea,16.126951
1996,Guinea-Bissau,9.8842716
1996,Guyana,42.930897
1996,Haiti,13.720622
1996,Honduras,24.183826
1996,"Hong Kong SAR, China",77.370499
1996,Hungary,76.915718
1996,Iceland,91.983711
1996,India,44.431938
1996,Indonesia,33.568199
1996,"Iran, Islamic Rep.",24.100294
1996,Iraq,2.5728071
1996,Ireland,93.383194
1996,Israel,70.806335
1996,Italy,78.650848
1996,Jamaica,52.83218
1996,Japan,82.771866
1996,"Jersey, Channel Islands",
1996,Jordan,52.318851
1996,Kazakhstan,20.203669
1996,Kenya,26.846506
1996,Kiribati,80.348267
1996,"Korea, Dem. Rep.",9.2842865
1996,"Korea, Rep.",66.995155
1996,Kosovo,3.3653846
1996,Kuwait,58.629135
1996,Kyrgyz Republic,33.383621
1996,Lao PDR,27.817839
1996,Latvia,57.068981
1996,Lebanon,38.348999
1996,Lesotho,42.997387
1996,Liberia,2.4996397
1996,Libya,15.010456
1996,Liechtenstein,91.361565
1996,Lithuania,66.864395
1996,Luxembourg,96.534843
1996,"Macao SAR, China",61.718239
1996,"Macedonia, FYR",30.340487
1996,Madagascar,39.439888
1996,Malawi,37.955349
1996,Malaysia,66.159515
1996,Maldives,68.204674
1996,Mali,35.600571
1996,Malta,83.249893
1996,Marshall Islands,66.236885
1996,Martinique,75.66713
1996,Mauritania,44.158695
1996,Mauritius,70.459335
